"uniqueID","species","siteID","blockID","experiment","OTC","vegetation","plotID","registrator","date","campaign_number","X","Y","present","vegetation_height","bryophyte_depth","vegetation_cover","bryophyte_cover","lichen_cover","comments"
"Sib_pro_Gud_1_B_W_NoVeg_1","Sib_pro","Gudmedalen","Gud_1","B","W","NoVeg","Gud_1_B_W_NoVeg",NA,NA,"zero",NA,NA,"no",NA,NA,NA,"",NA,NA
"Sib_pro_Gud_1_B_W_NoVeg_1","Sib_pro","Gudmedalen","Gud_1","B","W","NoVeg","Gud_1_B_W_NoVeg",NA,2020-06-30,"first",NA,NA,"no",NA,NA,NA,"",NA,NA
"Sib_pro_Gud_1_B_W_NoVeg_1","Sib_pro","Gudmedalen","Gud_1","B","W","NoVeg","Gud_1_B_W_NoVeg","SWE",2020-08-12,"second","","","no",NA,NA,NA,"",NA,""
"Sib_pro_Gud_1_B_W_NoVeg_1","Sib_pro","Gudmedalen","Gud_1","B","W","NoVeg","Gud_1_B_W_NoVeg","RG",2020-08-26,"third","","","no",NA,NA,NA,"",NA,""
"Sib_pro_Gud_1_B_W_NoVeg_1","Sib_pro","Gudmedalen","Gud_1","B","W","NoVeg","Gud_1_B_W_NoVeg","CZ",2021-06-09,"fourth","","","no",NA,NA,NA,"",NA,""
"Sib_pro_Gud_1_B_W_NoVeg_1","Sib_pro","Gudmedalen","Gud_1","B","W","NoVeg","Gud_1_B_W_NoVeg",NA,2021-07-12,"fifth",NA,NA,"no",NA,NA,NA,"",NA,NA
"Sib_pro_Gud_1_B_W_NoVeg_1","Sib_pro","Gudmedalen","Gud_1","B","W","NoVeg","Gud_1_B_W_NoVeg",NA,2021-08-05,"sixth",NA,NA,"no",NA,NA,NA,"",NA,NA
"Sib_pro_Gud_1_B_W_NoVeg_1","Sib_pro","Gudmedalen","Gud_1","B","W","NoVeg","Gud_1_B_W_NoVeg","CZ",2021-08-28,"seventh","","","no",NA,NA,NA,"",NA,""
"Ver_alp_Ulv_5_E_W_NoVeg_1","Ver_alp","Ulvehaugen","Ulv_5","E","W","NoVeg","Ulv_5_E_W_NoVeg",NA,NA,"zero",NA,NA,"no",NA,NA,NA,"",NA,NA
"Ver_alp_Ulv_5_E_W_NoVeg_1","Ver_alp","Ulvehaugen","Ulv_5","E","W","NoVeg","Ulv_5_E_W_NoVeg","RG",2020-06-29,"first","","","no",NA,NA,NA,"",NA,""
"Ver_alp_Ulv_5_E_W_NoVeg_1","Ver_alp","Ulvehaugen","Ulv_5","E","W","NoVeg","Ulv_5_E_W_NoVeg","RG",2020-08-07,"second","","","no",NA,NA,NA,"",NA,""
"Ver_alp_Ulv_5_E_W_NoVeg_1","Ver_alp","Ulvehaugen","Ulv_5","E","W","NoVeg","Ulv_5_E_W_NoVeg","RG",2020-08-25,"third","","","no",NA,NA,NA,"",NA,""
"Ver_alp_Ulv_5_E_W_NoVeg_1","Ver_alp","Ulvehaugen","Ulv_5","E","W","NoVeg","Ulv_5_E_W_NoVeg","CZ",2021-06-08,"fourth","21","27","yes",NA,NA,NA,"",NA,""
"Ver_alp_Ulv_5_E_W_NoVeg_1","Ver_alp","Ulvehaugen","Ulv_5","E","W","NoVeg","Ulv_5_E_W_NoVeg","CZ",2021-07-05,"fifth","21","27","yes",NA,NA,NA,"",NA,""
