species,siteID,blockID,OTC,vegetation,plot_seedling_ID,uniqueID,registrator,harvest_date,fresh_weighing_date,leaf_scanned_Y_N,balance_used,speciesID_check,flagged_errors,comments,trait,values
Ver_alp,Skjellingahaugen,Skj_1,W,NoVeg,Skj_1_W_NoVeg,Ver_alp_Skj_1_W_NoVeg_1,"AU, SRG, CZ",2021-08-28,2021-08-31,Y,Ra,Y,NA,NA,weight_fresh_leaf,1.7e-4
Ver_alp,Skjellingahaugen,Skj_1,W,NoVeg,Skj_1_W_NoVeg,Ver_alp_Skj_1_W_NoVeg_1,"AU, SRG, CZ",2021-08-28,2021-08-31,Y,Ra,Y,NA,NA,weight_dry_leaf,0
Ver_alp,Skjellingahaugen,Skj_1,W,NoVeg,Skj_1_W_NoVeg,Ver_alp_Skj_1_W_NoVeg_1,"AU, SRG, CZ",2021-08-28,2021-08-31,Y,Ra,Y,NA,NA,weight_fresh_whole,0.00115
Ver_alp,Skjellingahaugen,Skj_1,W,NoVeg,Skj_1_W_NoVeg,Ver_alp_Skj_1_W_NoVeg_1,"AU, SRG, CZ",2021-08-28,2021-08-31,Y,Ra,Y,NA,NA,weight_dry_whole,3.1e-4
Ver_alp,Skjellingahaugen,Skj_1,W,NoVeg,Skj_1_W_NoVeg,Ver_alp_Skj_1_W_NoVeg_1,"AU, SRG, CZ",2021-08-28,2021-08-31,Y,Ra,Y,NA,NA,shoot_height,4
Ver_alp,Skjellingahaugen,Skj_1,W,NoVeg,Skj_1_W_NoVeg,Ver_alp_Skj_1_W_NoVeg_1,"AU, SRG, CZ",2021-08-28,2021-08-31,Y,Ra,Y,NA,NA,leaf_num,3
Ver_alp,Skjellingahaugen,Skj_1,W,NoVeg,Skj_1_W_NoVeg,Ver_alp_Skj_1_W_NoVeg_1,"AU, SRG, CZ",2021-08-28,2021-08-31,Y,Ra,Y,NA,NA,leaf_length,2
Ver_alp,Skjellingahaugen,Skj_1,W,NoVeg,Skj_1_W_NoVeg,Ver_alp_Skj_1_W_NoVeg_1,"AU, SRG, CZ",2021-08-28,2021-08-31,Y,Ra,Y,NA,NA,leaf_width,1.1
Ver_alp,Skjellingahaugen,Skj_1,W,NoVeg,Skj_1_W_NoVeg,Ver_alp_Skj_1_W_NoVeg_2,"AU, SRG, CZ",2021-08-28,2021-08-31,Y,Ra,Y,NA,NA,weight_fresh_leaf,1.3e-4
Ver_alp,Skjellingahaugen,Skj_1,W,NoVeg,Skj_1_W_NoVeg,Ver_alp_Skj_1_W_NoVeg_2,"AU, SRG, CZ",2021-08-28,2021-08-31,Y,Ra,Y,NA,NA,weight_dry_leaf,9e-5
